semilla,tasa_arribo,tasa_servicio,capacidad_cola,longitud_cola,probabilidad
20260626,7.5,10.0,infinita,0,0.44919624287033905
20260626,7.5,10.0,infinita,1,0.1416891134010075
20260626,7.5,10.0,infinita,2,0.10603677853412301
20260626,7.5,10.0,infinita,3,0.08017200939047536
20260626,7.5,10.0,infinita,4,0.05877612798217442
20260626,7.5,10.0,infinita,5,0.04318144371812484
20260626,7.5,10.0,infinita,6,0.03112454671867855
20260626,7.5,10.0,infinita,7,0.022823560789425268
20260626,7.5,10.0,infinita,8,0.017491811248532652
20260626,7.5,10.0,infinita,9,0.012451807330599208
20260626,7.5,10.0,infinita,10,0.008728198953912298
20260626,7.5,10.0,infinita,11,0.006900300888613344
20260626,7.5,10.0,infinita,12,0.005346931791136287
20260626,7.5,10.0,infinita,13,0.004035354700883677
20260626,7.5,10.0,infinita,14,0.002638338678393849
20260626,7.5,10.0,infinita,15,0.0017789362433884208
20260626,7.5,10.0,infinita,16,0.001289205635560063
20260626,7.5,10.0,infinita,17,0.0009852910279083745
20260626,7.5,10.0,infinita,18,0.0008290097524950851
20260626,7.5,10.0,infinita,19,0.0006603313754617944
20260626,7.5,10.0,infinita,20,0.0007110708113168811
20260626,7.5,10.0,infinita,21,0.0006619038918806496
20260626,7.5,10.0,infinita,22,0.0005557071102090617
20260626,7.5,10.0,infinita,23,0.000411568606910555
20260626,7.5,10.0,infinita,24,0.0003537475378110457
20260626,7.5,10.0,infinita,25,0.00029313868697670385
20260626,7.5,10.0,infinita,26,0.00022629548203367448
20260626,7.5,10.0,infinita,27,0.0001727008467210453
20260626,7.5,10.0,infinita,28,0.00021225003654883493
20260626,7.5,10.0,infinita,29,0.00020211950792424886
20260626,7.5,10.0,infinita,30,5.883636539870167e-05
20260626,7.5,10.0,infinita,31,5.320085035577904e-06
